ESTADO,DISTRITO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
9,6,PVEM,ERASTO JOEL HERNANDEZ PEREZ,BRAULIO FRANCISCO MENA PALACIOS
9,6,ELIGE,GEMA MARTINEZ PANHUAYA,MARGARITA HERNANDEZ ESPEJEL
9,6,PES,MARIA DEL ROCIO FLORES CERVANTES,MARÍA DEL SOCORRO DE LA GUERRA MARTÍNEZ
9,6,FXM,HUGO CAMPUZANO LEON,SANDRA IRENE RAMOS SANCHEZ
9,6,MOVIMIENTO CIUDADANO,FRANCISCO JAVIER TAFOYA GARCIA ,ODIN MIGUEL BOBADILLA CAMACHO
9,6,PAN-PRI-PRD,JORGE GAVIÑO AMBRIS,MIGUEL ANGEL MORALES NORBERTO
9,6,RSP,GERARDO ROJAS PÉREZ,OMAR LUCIO FLÓRES HERNÁNDEZ
9,7,PT-MORENA,JOSE OCTAVIO RIVERO VILLASEÑOR,RAMON CASTRO ESCOBEDO
9,7,PVEM,ALBERTO ABRAHAM MELO TORRES,FELIPE BELTRÁN PACHECO
9,7,ELIGE,MAYELI CALDIÑO ROSETE,KAREN MOINA ÁLVAREZ
9,7,PES,EDSON ANTONIO CADEENAS MARTÍNEZ,JESÚS OLVERA FERNÁNDEZ
9,7,FXM,VIANEY GUZMAN CORTINEZ ,ITZEL CABALLERO GONZÁLEZ
9,7,MOVIMIENTO CIUDADANO,CRISTIAN ALEJANDRO PALMA VALDEZ,JORGE ALEJANDRO CUETO TRUJILLO
9,7,PAN-PRI-PRD,EMILIANO AGUILAR ESQUIVEL,VIRIDIANA MEZA OLIVARES
9,7,RSP,NATALY ARELY LEYVA HERNÁNDEZ,ALMA DANIELA DE LA TORRE ORTIZ
9,8,PT-MORENA,ADRIANA MARIA GUADALUPE ESPINOSA DELOS MONTEROS GARCÍA,LILIANA TORRES GALICIA
9,8,PVEM,MIRIAM JIMENEZ MARTINEZ,PAMELA JANIN LÓPEZ GLORIA
9,8,ELIGE,CARLOS ALBERTO PARTIDA SALGADO,JUDITH ELIZABETH IBAÑEZ GARCÍA
9,8,PES,TERESA RAMOS ARREOLA,JENNIFER KARINA RIOS RODRÍGUEZ
9,8,FXM,PAMAELA SANCHEZ VÁZQUEZ,MARLEN ISAGUIRRE BAÑOS
9,8,MOVIMIENTO CIUDADANO,LIDIA YESSICA ZAMORA MENDOZA,SAHIAN GUADALUOE DÁVILA HERNÁNDEZ 
9,8,PAN-PRI-PRD,TALIA STEFANY RINCÓN MARTÍNEZ,ROSA VÉRONICA CRUZ CABREBA
9,8,RSP,CARLOS CHAVEZ VARGAS,RICARDO CAMACHO ROSALES
9,9,PT-MORENA,MARCO ANTONIO TEMISTOCLES VILLANUEVA RAMOS,MIRIAM ELIZABETH LÓPEZ CASTELLANOS
9,9,PVEM,AGUSTIN TORRES PEREZ,MARIA DEL ROCÍO  HERNANDEZ EUSEBIO
9,9,ELIGE,ARTEMIO RIVERA RANGEL,BLANCA IVÓN RIVERA ESCALONA
9,9,PES,MARÍA VIRGINIA HERNANDEZ MARTINEZ,NANCY FREEMAN BRISEÑO
9,9,FXM,SANDRA PAOLA ROSAS PERÉS,GIOVANNA ABIGAIL CHÁVEZ FLORES
9,9,MOVIMIENTO CIUDADANO,MARIA TERESA ROMERO MEJÍA ,ANA AIMEE ZALDIVAR QUIZAMAN
9,9,PAN-PRI-PRD,ESTHER  SILVIA SÁNCHEZ BARRIOS,WESLY CHANTAL JIMÉNEZ HERNANDEZ
9,9,RSP,IVON KARINA LÓPEZ HERNÁNDEZ,CYNTHIA FLORES TAPIA
9,9,C-I,RICARDO LUIS PARADA RAMIREZ,
9,10,PT-MORENA,MARIA GUADALUPE MORALES RUBIO,MARIA GUADALUPE LAUDO FERNANDEZ
9,10,PVEM,BRENDA KAREM GARCÍA LARIZ,MARÍA LIBERTAD XIMENA SANCHEZ LAZO MARTÍNEZ
9,10,ELIGE,ANA CLAUDIA PACHECO VILLASEÑOR,DANIA KARINA BERNABÉ GONZÁLEZ
9,10,PES,GRACIELA MARTINEZ ORTEGA ,DULCE MARIA ROSAS CALDERON 
9,10,FXM,JUAN CARLOS PASTRANA MANCERA,ARIEL PRAKXEDIS GONZALEZ SANCHEZ
9,10,MOVIMIENTO CIUDADANO,DANIEL CRUZ RUIZ,JOSE ANTONIO RODRIGUEZ CALLEJAS
9,10,PAN-PRI-PRD,MONICA FERNANDEZ CESAR,YOLANDA JUDITH TELLEZ BARRAGAN
9,10,RSP,RICARDO DAVID VALDERRAMA CARBAJAL ,GUILLERMO IBARRA MOLINA
9,11,PT-MORENA,MARIA DE LOURDES PAZ REYES ,BLANCA ELIZABETH SANCHEZ GONZALEZ
9,11,PVEM,MARIO SANTELIZ MARTINEZ,CARLOS GARCIA LOPEZ
9,11,ELIGE,SANDRA GONZALEZ PÉREZ,MARIA LETICIA SERRANO ÁLVAREZ
9,11,PES,ADRIANA RAYA ORTEGA,JACQUELINE CHAVEX SANCHEZ
9,11,FXM,FATIMA GABRIELA RODRÍGUEZ ROMERO,LUZ ARANTZA REYES DE ANDA
9,11,MOVIMIENTO CIUDADANO,ALEJANDRO RAFAEL PIÑA MEDINA,JOSE ALFREDO TORRES CHÁVEZ
9,11,PAN-PRI-PRD,MONICA JESSICA MENOCAL DEL MORAL,FABIOLA MENOCAL DEL MORAL
